Well	Well Name 	Target	Threshold (∆Rn)	Cq (∆Rn)	
A1  	QCNTC     	FAM   	0.06           	No Cq   	
A1  	QCNTC     	HEX   	0.06           	32.24   	
A1  	QCNTC     	CY5   	0.12           	34.78   	
A2  	1925910274	FAM   	0.06           	32.25   	
A2  	1925910274	HEX   	0.06           	23.37   	
A2  	1925910274	CY5   	0.12           	25.79   	
A3  	1925910282	FAM   	0.06           	34.78   	
A3  	1925910282	HEX   	0.06           	23.8    	
A3  	1925910282	CY5   	0.12           	28.95   	
A4  	1925910290	FAM   	0.06           	33.63   	
A4  	1925910290	HEX   	0.06           	23.26   	
A4  	1925910290	CY5   	0.12           	25.1    	
A5  	1925910298	FAM   	0.06           	32.66   	
A5  	1925910298	HEX   	0.06           	23.58   	
A5  	1925910298	CY5   	0.12           	25.74   	
A6  	1925910306	FAM   	0.06           	32.87   	
A6  	1925910306	HEX   	0.06           	22.95   	
A6  	1925910306	CY5   	0.12           	24.94   	
A7  	1925910314	FAM   	0.06           	39.33   	
A7  	1925910314	HEX   	0.06           	25.28   	
A7  	1925910314	CY5   	0.12           	26.67   	
A8  	1925910322	FAM   	0.06           	31.76   	
A8  	1925910322	HEX   	0.06           	23.55   	
A8  	1925910322	CY5   	0.12           	25.21   	
A9  	1925910330	FAM   	0.06           	33.44   	
A9  	1925910330	HEX   	0.06           	23.83   	
A9  	1925910330	CY5   	0.12           	25.95   	
A10 	1925910338	FAM   	0.06           	34.48   	
A10 	1925910338	HEX   	0.06           	23.93   	
A10 	1925910338	CY5   	0.12           	26.12   	
A11 	1925910346	FAM   	0.06           	33.71   	
A11 	1925910346	HEX   	0.06           	23.48   	
A11 	1925910346	CY5   	0.12           	25.31   	
A12 	1925910354	FAM   	0.06           	39.91   	
A12 	1925910354	HEX   	0.06           	25.51   	
A12 	1925910354	CY5   	0.12           	26.03   	
B1  	QCWNL     	FAM   	0.06           	33.2    	
B1  	QCWNL     	HEX   	0.06           	21.78   	
B1  	QCWNL     	CY5   	0.12           	24.5    	
B2  	1925910275	FAM   	0.06           	34.93   	
B2  	1925910275	HEX   	0.06           	23.14   	
B2  	1925910275	CY5   	0.12           	24.23   	
B3  	1925910283	FAM   	0.06           	34.27   	
B3  	1925910283	HEX   	0.06           	23.62   	
B3  	1925910283	CY5   	0.12           	25.32   	
B4  	1925910291	FAM   	0.06           	34.11   	
B4  	1925910291	HEX   	0.06           	23.46   	
B4  	1925910291	CY5   	0.12           	25.13   	
B5  	1925910299	FAM   	0.06           	32.03   	
B5  	1925910299	HEX   	0.06           	22.84   	
B5  	1925910299	CY5   	0.12           	24.99   	
B6  	1925910307	FAM   	0.06           	34.94   	
B6  	1925910307	HEX   	0.06           	23.4    	
B6  	1925910307	CY5   	0.12           	25.56   	
B7  	1925910315	FAM   	0.06           	32.42   	
B7  	1925910315	HEX   	0.06           	23.23   	
B7  	1925910315	CY5   	0.12           	25.57   	
B8  	1925910323	FAM   	0.06           	33.71   	
B8  	1925910323	HEX   	0.06           	23.21   	
B8  	1925910323	CY5   	0.12           	24.89   	
B9  	1925910331	FAM   	0.06           	No Cq   	
B9  	1925910331	HEX   	0.06           	29.36   	
B9  	1925910331	CY5   	0.12           	32.74   	
B10 	1925910339	FAM   	0.06           	33.6    	
B10 	1925910339	HEX   	0.06           	23.43   	
B10 	1925910339	CY5   	0.12           	25.66   	
B11 	1925910347	FAM   	0.06           	33.41   	
B11 	1925910347	HEX   	0.06           	23.79   	
B11 	1925910347	CY5   	0.12           	24.7    	
B12 	1925910355	FAM   	0.06           	32.03   	
B12 	1925910355	HEX   	0.06           	22.61   	
B12 	1925910355	CY5   	0.12           	24.31   	
C1  	QCQUE     	FAM   	0.06           	35.66   	
C1  	QCQUE     	HEX   	0.06           	22.16   	
C1  	QCQUE     	CY5   	0.12           	25.15   	
C2  	1925910276	FAM   	0.06           	32.47   	
C2  	1925910276	HEX   	0.06           	22.78   	
C2  	1925910276	CY5   	0.12           	24.73   	
C3  	1925910284	FAM   	0.06           	32.15   	
C3  	1925910284	HEX   	0.06           	23.33   	
C3  	1925910284	CY5   	0.12           	25.24   	
C4  	1925910292	FAM   	0.06           	32.38   	
C4  	1925910292	HEX   	0.06           	21.68   	
C4  	1925910292	CY5   	0.12           	23.92   	
C5  	1925910300	FAM   	0.06           	32.35   	
C5  	1925910300	HEX   	0.06           	22      	
C5  	1925910300	CY5   	0.12           	24.53   	
C6  	1925910308	FAM   	0.06           	32.29   	
C6  	1925910308	HEX   	0.06           	22.43   	
C6  	1925910308	CY5   	0.12           	23.68   	
C7  	1925910316	FAM   	0.06           	33.27   	
C7  	1925910316	HEX   	0.06           	23      	
C7  	1925910316	CY5   	0.12           	24.78   	
C8  	1925910324	FAM   	0.06           	34.63   	
C8  	1925910324	HEX   	0.06           	23.41   	
C8  	1925910324	CY5   	0.12           	25.15   	
C9  	1925910332	FAM   	0.06           	33.18   	
C9  	1925910332	HEX   	0.06           	23.53   	
C9  	1925910332	CY5   	0.12           	24.99   	
C10 	1925910340	FAM   	0.06           	33.94   	
C10 	1925910340	HEX   	0.06           	23.4    	
C10 	1925910340	CY5   	0.12           	25.07   	
C11 	1925910348	FAM   	0.06           	33.19   	
C11 	1925910348	HEX   	0.06           	24      	
C11 	1925910348	CY5   	0.12           	25.52   	
C12 	1925910356	FAM   	0.06           	32.31   	
C12 	1925910356	HEX   	0.06           	22.95   	
C12 	1925910356	CY5   	0.12           	24.59   	
D1  	QCSCID    	FAM   	0.06           	No Cq   	
D1  	QCSCID    	HEX   	0.06           	22.59   	
D1  	QCSCID    	CY5   	0.12           	26.09   	
D2  	1925910277	FAM   	0.06           	35.19   	
D2  	1925910277	HEX   	0.06           	23.41   	
D2  	1925910277	CY5   	0.12           	25.21   	
D3  	1925910285	FAM   	0.06           	32.8    	
D3  	1925910285	HEX   	0.06           	22.67   	
D3  	1925910285	CY5   	0.12           	25.19   	
D4  	1925910293	FAM   	0.06           	33.44   	
D4  	1925910293	HEX   	0.06           	23.68   	
D4  	1925910293	CY5   	0.12           	25.6    	
D5  	1925910301	FAM   	0.06           	33.27   	
